key,status,doi_in_bib,candidate_doi,title_overlap,title,notes
Akyildiz2002Survey,verified_doi,10.1109/MCOM.2002.1024422,,1.000,A Survey on Sensor Networks,
Rault2016Energy,doi_title_mismatch,10.1016/j.comnet.2015.07.014,,0.000,Energy Efficiency in Wireless Sensor Networks: A Top-Down Survey,
Kandris2020,doi_title_mismatch,10.3390/s20071940,,0.000,Power Conservation through Energy Efficient Routing in Wireless Sensor Networks: A Survey,
Heinzelman2000LEACH,verified_doi,10.1109/HICSS.2000.926982,,1.000,Energy-Efficient Communication Protocol for Wireless Microsensor Networks,
Lindsey2002PEGASIS,verified_doi,10.1109/AERO.2002.1035242,,1.000,PEGASIS: Power-Efficient Gathering in Sensor Information Systems,
Younis2004HEED,verified_doi,10.1109/TMC.2004.41,,1.000,"HEED: A Hybrid, Energy-Efficient, Distributed Clustering Approach for Ad Hoc Sensor Networks",
Manjeshwar2001TEEN,verified_doi,10.1109/IPDPS.2001.925197,,1.000,TEEN: A Routing Protocol for Enhanced Efficiency in Wireless Sensor Networks,
Zuniga2004,verified_doi,10.1109/SAHCN.2004.1381954,,1.000,Analyzing the Transitional Region in Low Power Wireless Links,
Zuniga2007Asymmetry,verified_doi,10.1145/1240226.1240227,,1.000,An Analysis of Unreliability and Asymmetry in Low-Power Wireless Links,
Baccour2012RLQE,verified_doi,10.1145/2240116.2240123,,1.000,Radio Link Quality Estimation in Wireless Sensor Networks,
Heinzelman2002LEACH,verified_doi,10.1109/TWC.2002.804190,,1.000,An Application-Specific Protocol Architecture for Wireless Microsensor Networks,
Ren2024,unresolved_network,10.1109/JIOT.2023.3294826,,0.000,MeFi: Mean Field Reinforcement Learning for Cooperative Routing in Wireless Sensor Networks,
Okine2024,unresolved_network,10.1109/TNSM.2023.3321456,,0.000,Multi-Agent Deep Reinforcement Learning for Packet Routing in Tactical Mobile Sensor Networks,
Chen2023Survey,unresolved_network,10.1109/COMST.2023.3267890,,0.000,"A Comprehensive Survey on Machine Learning for Wireless Sensor Networks: Applications, Challenges, and Future Directions",
ElFouly2023ILP,verified_doi,10.3390/app13010605,,1.000,Environment-Aware Energy Efficient and Reliable Routing in Real-Time Multi-Sink Wireless Sensor Networks for Smart Cities Applications,
Dan2024EMRAR,verified_doi,10.3390/s24010285,,1.000,An Accuracy-Aware Energy-Efficient Multipath Routing Algorithm for WSNs,
Bhukya2025Hybrid,verified_doi,10.3390/s25030864,,1.000,Hybrid Reliable Clustering Algorithm with Heterogeneous Traffic Routing for Wireless Sensor Networks,
Liu2018Environment,doi_title_mismatch,10.3390/s18113716,,0.050,Environment-Adaptive Routing in Wireless Sensor Networks Based on Machine Learning,
Zhao2019Context,unresolved_network,10.1016/j.comnet.2019.03.021,,0.000,Context-Aware Routing Protocols for Vehicular Sensor Networks: A Survey,
